class,placeId,score,name_kor,name_eng,location
restaurants,11491987,4.666666666666667,인굿컴퍼니,In good company,서울 강남구 도산대로19길 50
restaurants,1151069,4.111111111111111,buonasera,buonasera,서울 강남구 신사동 650-1
restaurants,11543536,5.0,디퀸즈 코엑스몰점,D.Queens COEX Mall,서울 강남구 영동대로 513
restaurants,11592317,4.5,새마을식당 홍대,Saemaul Sikdang Hongdae,서울 마포구 서교동 410-9
restaurants,11615317,3.6666666666666665,구디구디,Buffet & Restaurant Goody Goody,서울 중구 명동8나길 10
restaurants,11620505,4.0,분타이,Bun Thai,서울 중구 명동7길 21
restaurants,11620589,5.0,함박집,Hamburg Kitchen,서울 서대문구 연세로11길 12
restaurants,11621260,4.285714285714286,폴바셋 구로지밸리몰점,Paul Bassett Guro G-valley Mall,서울 구로구 디지털로 300
restaurants,11621371,5.0,리치몬드,Richmond Dimsum,서울 용산구 녹사평대로40나길 5
restaurants,11621388,4.666666666666667,천외천,Cheonoecheon,서울 양천구 등촌로 220
restaurants,11621412,3.5,맥도날드 서울역점,McDonald's Seoul Station,서울 중구 한강대로 405
restaurants,11621421,5.0,폴리스,Paulie's,서울 송파구 올림픽로 240
restaurants,11621427,4.333333333333333,프리미엄 진진바라 광화문점,Premium Jinjin Bara Gwanghwamun,서울 종로구 종로5길 7
restaurants,11626840,2.0,청년국수,Young Noodle,서울 서대문구 연세로12길 23
restaurants,11638026,4.0,남경,Namgyeong,서울 송파구 올림픽로43길 88
restaurants,11638047,4.0,운봉,Unbong,서울 강남구 도곡로63길 13
restaurants,11661431,5.0,마시아,Masia,서울 강남구 테헤란로4길 46
restaurants,11661463,5.0,서산꽃게,Seosan Kkotge,서울 마포구 도화길 12-3
restaurants,11661901,4.0,그녀의밥상,Her Table,서울 마포구 와우산로21길 36-4
restaurants,11663759,4.758620689655173,Huggers,Huggers,"서울 29, Daesagwan-ro 6-gil, Yongsan-gu"
restaurants,11667323,5.0,면사무소,Hand-Made Noodles House,서울 용산구 이태원로26길 22
restaurants,11693191,4.5,삼우정 롯데백화점잠실점,Samwoojeong Lotte Department Store Jamsil,서울 송파구 올림픽로 240
