class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10539267,5,상냥한 그놈의 밥상,Sangnyanghan Geu Nomui Bapsang,서울 마포구 월드컵북로54길 17,정좌표,,126.888535,37.581327
restaurants,1058129,4,누들앤코,NOODLE & co.,서울 639-7 Sinsa-dong,광역시좌표,,126.977863,37.566412
restaurants,10593613,3,행당떡볶이,Haengdang Tteokbokki,서울 성동구 왕십리로 323,정좌표,,127.033394,37.562266
restaurants,10593620,4,호치킨하우스 명일2호점,Hochicken House Myeongil 2-ho,서울 강동구 양재대로143길 18,정좌표,,127.142868,37.551695
restaurants,10593650,3,카퍼룸,Copper Room,서울 강남구 봉은사로 410,정좌표,,127.04524,37.510318
restaurants,10593713,4.833333333,문인더랩,Moon in the Lab,서울 마포구 월드컵로19길 51,정좌표,,126.907575,37.555195
restaurants,10593717,5,알마푸드,ALMA Foods,서울 마포구 와우산로 44,정좌표,,126.923179,37.548328
restaurants,10593743,4,김춘배연어집,Kim Chun Bae Izakaya,서울 용산구 이태원로27가길 45,정좌표,,126.992765,37.534895
restaurants,10593747,4.666666667,비스트로주라,Bistro Jura,서울 마포구 와우산로23길 18-7,정좌표,,126.924591,37.554
restaurants,10597866,4,남순남순대국 마리오아울렛점,Namsunnam Sundaeguk Mario Outlet,서울 금천구 벚꽃로 266,정좌표,,126.885063,37.478469
restaurants,10597877,3.333333333,사월에쭈꾸미 마리오아울렛1관점,April Jjukkumi Mario Outlet,서울 금천구 디지털로 185,정좌표,,126.887217,37.478084
restaurants,10597914,4.714285714,포포인츠바이쉐라톤서울남산 더이터리,Four Points by Sheraton Seoul Namsan The Eatery,서울 용산구 한강대로 366,정좌표,,126.972757,37.550861
restaurants,10624568,4.8,슈치쿠,Shuchiku Japanese Restaurant,서울 서울 영등포구 63로 50 63시티,정좌표,,126.939746,37.519573
restaurants,10628167,5,Vatos Urban Tacos Jamsil,Vatos Urban Tacos Jamsil,서울 240 Olympic-ro Songpa-gu,광역시좌표,,126.977863,37.566412
restaurants,10629636,5,Seoel Zuid Korea,Seoel Zuid Korea,서울 31 Donhwamun-ro 11 na-gil,광역시좌표,,126.977863,37.566412
restaurants,10629731,5,오 춘자비어 관철동점,O Chunja Beer Gwancheoldong,서울 종로구 삼일대로17길 15,정좌표,,126.986611,37.569091
restaurants,10629750,4,사조참치 무교점,Sajo Chamchi Mugyo,서울 중구 남대문로9길 39,정좌표,,126.980248,37.566667
restaurants,10629782,3,undefined,undefined,서울   195,광역시좌표,,126.977863,37.566412
restaurants,10629796,4,undefined,HeeJung Sikdang,서울 영등포구 여의나루로 117,정좌표,,126.931043,37.526234
restaurants,10629840,3.333333333,undefined,Bibigo,서울   300,광역시좌표,,126.977863,37.566412
restaurants,10630155,4.111111111,감성타코앤그릴,Gamsung Taco & Grill,서울 강남구 강남대로162길 31,정좌표,,127.020933,37.520679
restaurants,10633905,4,오딧세이,Odyssey,서울 마포구 양화로6길 90,정좌표,,126.919061,37.548237
restaurants,10663226,5,늘마중,Neulmajung,서울 종로구 인사동8길 16-1,정좌표,,126.985953,37.57423
restaurants,10669868,4.666666667,루이,Luii,서울 중구 세종대로21길 40,정좌표,,126.975857,37.568269
