class,placeId,score,name_kor,name_eng,location
hotels,301815,4.501168224299065,서울 웨스틴 조선 호텔,The Westin Chosun Seoul,"37.56446,126.9798"
hotels,301817,4.3164556962025316,그랜드 워커힐 서울,Grand Walkerhill Seoul,"37.555775,127.11091"
hotels,302237,4.442622950819672,르 메르디앙 서울,Le Meridien Seoul,"37.505142,127.02739"
hotels,306105,4.512096774193548,임피리얼 팰리스 서울,,"37.514023,127.03588"
hotels,306113,4.263736263736264,오라카이 인사동 스위츠,Orakai Insadong Suites,"37.57327,126.98718"
hotels,306114,3.8297872340425534,그랜드 힐튼 서울,Grand Hilton Seoul,"37.59,126.934746"
hotels,306115,3.9479166666666665,그랜드 하얏트 서울,,"37.540142,126.997154"
hotels,306118,4.335664335664336,그랜드 인터컨티넨탈 서울 파르나스,Grand InterContinental Seoul Parnas,"37.508766,127.06103"
hotels,306123,3.533333333333333,인사동 크라운호텔,Insadong Crown Hotel,"37.573742,126.98795"
hotels,306125,2.9285714285714284,크라운 호텔 이태원,Crown Hotel Itaewon,"37.531387,126.99058"
hotels,306126,4.620689655172414,호텔 피제이 명동,,"37.56476,126.99569"
hotels,306127,3.9814814814814814,코리아나 호텔,Koreana Hotel,"37.568016,126.97659"
hotels,306128,4.774480712166172,롯데 호텔 월드,,"37.51177,127.1003"
hotels,306130,4.613360323886639,롯데 호텔 서울,Lotte Hotel Seoul,"37.56577,126.98074"
hotels,306132,4.3061224489795915,밀레니엄 서울 힐튼,,"37.55531,126.97582"
hotels,306136,3.6341463414634148,호텔 프레지던트,Hotel President,"37.565567,126.9794"
hotels,306139,4.510416666666667,더 플라자,,"37.56463,126.978065"
hotels,306145,4.622641509433962,로얄 호텔 서울,,"37.564217,126.98564"
hotels,306168,3.6341463414634148,호텔 리베라,Hotel Riviera,"37.523968,127.05478"
hotels,307024,3.4444444444444446,게스트하우스 코리아,Guesthouse Korea,"37.576668,126.99103"
hotels,307032,3.638888888888889,서울 백팩커스,Seoul Backpackers,"37.557167,126.97717"
hotels,307040,4.067226890756302,켄싱턴 호텔 여의도,Kensington Hotel Yoido,"37.53051,126.92216"
hotels,307042,3.727272727272727,서울 YMCA 관광호텔,Seoul YMCA Tourist Hotel,"37.570198,126.98536"
hotels,308007,3.810344827586207,세종 호텔,Sejong Hotel,"37.561127,126.98807"
