class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,12327434,4.95,에스트렐라,Estrella,37.56289,127.00064
restaurants,12327490,5.0,죽이네 스시,Jugine Sushi,37.562935,126.99287
restaurants,12347788,4.5,,Dooreyoo,37.582783,126.985085
restaurants,12347811,4.666666666666667,다모토리,Damotori,37.541267,126.987076
restaurants,12357290,4.8125,에베레스트 커리월드레스토랑,Everest Curry World Restaurant,37.572044,127.01163
restaurants,12358640,4.611111111111111,빅가이즈랍스타 명동점,Big Guy's Lobster Myeongdong,37.564148,126.98449
restaurants,12358710,4.647058823529412,올드나이브스,Olde Knives,37.54314,126.98778
restaurants,12364738,4.978260869565218,네키드윙즈,Nekkid Wings,37.53379,126.98939
restaurants,1237999,4.36864406779661,미가본,Migabon,37.56396,126.98536
restaurants,12381597,4.5,조개와,Jogaewa Seafood Bar & Restaurant,37.56462,126.984344
restaurants,12384635,4.928571428571429,델리인디아,Delhi India,37.548546,126.91972
restaurants,1239273,4.0,palsun,palsun,37.550327,126.99706
restaurants,12396162,5.0,티마하우스,Tima House,37.50277,127.03026
restaurants,12402413,4.5,아꼬떼뒤파르크,A cote du Parc,37.546654,127.04158
restaurants,12404343,4.625,육전식당 1호점,Yukjeon Sikdang 1st,37.574436,127.02434
restaurants,12415732,4.4,이태리재,Italyjae,37.57873,126.981804
restaurants,12415917,4.666666666666667,호랑이카레,Tiger Curry,37.582245,126.98692
restaurants,12419982,3.823529411764706,황금목장,Golden Farm,37.56158,126.98458
restaurants,12423674,2.8333333333333335,루엔타이 삼성,Ruen Thai Samsung,37.515175,127.05243
restaurants,12434422,4.75,고베규카츠 상수점,Kobe Kyukatsu Sangsu,37.5484,126.91989
restaurants,12441492,4.4,"스테이, 모던 레스토랑","STAY, Modern Restaurant",37.513496,127.10259
restaurants,12442890,5.0,에프앤비 가로수점,FNB Garosu,37.51894,127.02256
restaurants,12452381,5.0,필동삼계탕,Pildong SamGyeTang,37.560303,126.99581
restaurants,12453833,5.0,스뫼르,SMOR,37.562263,126.92591
restaurants,12453968,4.333333333333333,황금목장 명동성당점,Golden Farm Myeongdong Cathedral,37.56144,126.9846
restaurants,12459494,5.0,그레이스푼,GREYSPOON,37.518913,127.02198
restaurants,12479670,5.0,소미미단팥빵,Somimi Danpatppang,37.485115,126.98133
restaurants,12496220,4.866666666666666,안뜨레,Entree,37.505444,127.02892
restaurants,12496283,4.428571428571429,밤부베이커리,Bamvoo Bakery,37.55058,126.91089
restaurants,12511885,5.0,룸비니레스토랑,Lumbini Restaurant,37.572887,127.01454
restaurants,12522218,2.0,북천 카페 B,Bukchon Cafe B,37.5816,126.98489
restaurants,12523958,4.846153846153846,Section A,Section A,37.534775,126.99612
restaurants,12543019,5.0,골든불,Golden Bull,37.53703,127.00136
restaurants,12547139,4.25,블렌드랩,Blend Lab,37.534542,126.988594
restaurants,12547150,4.833333333333333,팔로피자,Falo Pizza,37.54982,126.91565
restaurants,12562064,5.0,아이라이크씨푸드,I Like Seafood,37.483177,126.89801
restaurants,12578051,4.333333333333333,다운타우너 한남점,Downtowner Hannam,37.535843,127.00061
restaurants,12597695,3.0,카보다로카,Cabo da Roca Wine Cafe,37.47782,126.95888
restaurants,12609955,4.0,스시강,Sushi Kang,37.548954,126.91482
restaurants,12609962,3.8,쉼표말랑,Comma Mallang,37.514854,126.89459
restaurants,12613894,4.833333333333333,신포우리만두,Sinpo Woori Mandoo,37.57227,126.98669
restaurants,12631150,5.0,잘빠진메밀 2호점,Jalppajin Memil 2nd,37.574005,126.99145
restaurants,12631634,4.0,빅가이즈랍스타 롯데월드몰점,Big Guy's Lobster Lotte World Mall,37.51361,127.10336
restaurants,12639413,4.0,쉐이크쉑 두타점,Shake Shack Doota,37.568943,127.009254
restaurants,12645875,4.9375,레트로게임바,RetroGameBar,37.550747,126.92214
restaurants,12657055,4.909090909090909,레드브릭 비스트로,Redbrick Bistro,37.53372,126.99212
restaurants,12669963,5.0,누들스테이션,Noodle Station,37.570976,126.97576
restaurants,12680576,4.75,비아 메렝게,Via Merengue,37.558758,126.93809
restaurants,12686437,4.0,도깨비 불고기 - 동대문 본점,Dokkaebi Bulgogi - Dongdaemun Main Store,37.56767,127.00775
