class,placeId,score,name_kor,name_eng,location
attractions,7892121,4.666666666666667,한의약 박물관,Seoul Yangnyeongsi Herb Medicine Museum,서울 동대문구 왕산로 128
attractions,7892126,4.0,대각사,Daegaksa Temple,서울 종로구 율곡로10길 87
attractions,7892131,4.0,서서울호수공원,Seoseoul Lake Park,서울 양천구
attractions,7892447,3.0,강남관광정보센터,Gangnam Tourist Information Center,서울 강남구 압구정로 161
attractions,7892528,3.0,대중음악전시관,K-Pop Music Exhibition Hall,"서울 송파구 올림픽로 424, 올림픽홀"
attractions,7892561,5.0,경희대학교 한의학역사박물관,The Museum of Korean Medical History,서울 동대문구 경희대로 23
attractions,7980918,5.0,도산 안창호 기념관,Dosan Ahn Chang Ho Memorial Hall,서울 강남구 도산대로45길 20
attractions,7987267,4.4444444444444455,청운공원,Chungun Park,서울 종로구 청운동 7-4
attractions,7987806,4.0,서소문공원,Seosomun Park,서울 중구 의주로2가 16
attractions,8019604,4.0,서대문독립공원,Seodaemun Independence Park,서울 서대문구 통일로 247
attractions,8076992,5.0,갤러리 현대,Gallery Hyundai,서울 종로구 삼청로 14
attractions,8077234,4.5,도봉문화정보도서관,Dobong Culture Information Library,서울 도봉구 덕릉로 315
attractions,8077812,4.0,강남아트홀,Gangnam Arthall,서울 서초구 서초대로73길 30
attractions,8121688,2.0,충무로 애완동물 거리,Chungmuro Pet Street,서울 충무로
attractions,8121809,5.0,한국잡지박물관,Korean Magazine Museum,서울 영등포구 여의대방로67길 11
attractions,8121817,4.0,경희대학교 자연사박물관,Kyunghee University Natural History Museum,서울 동대문구 경희대로 26
attractions,8123881,4.666666666666667,강북 문화정보 도서관,Gangbook Culture Information Library,서울 강북구 오현로 145
attractions,8317410,3.0,현대원서공원,Wonseo Park,서울 종로구 창덕궁길 19
attractions,8404036,4.4,인사동 홍보관 관광안내소,Insadong P.R & Tourist Information Center,서울 종로구 인사동11길 19
attractions,8591663,5.0,동양 예술 극장,Dongyang Art Center,서울 종로구 대학로 14길 29
attractions,8591974,4.333333333333333,영화사,Yeonghwasa Temple,서울 광진구 영화사로 107
attractions,8627561,4.5,뮤지엄 김치간,Museum Kimchikan,서울 종로구 인사동 35-4
attractions,8693250,3.375,목동종합운동장,Mokdong Stadium,서울 양천구 안양천로 939
attractions,8724136,4.0,북악산,Bugaksan Mountain,서울 종로구 부암동
attractions,9569019,4.428571428571429,원각사지 10층석탑,Ten-story Stone Pagoda of Wongaksa Temple Site,서울 종로구
attractions,9582763,4.0,그린월,Green Wall,서울 중구 세종대로 110
attractions,9586394,4.0,석조전 대한제국역사관,Daehan Empire Historical Museum,서울 중구 세종대로 99
attractions,9587015,4.5,마포대교,Mapodaegyo Bridge,서울 마포구 용강동
attractions,9719010,4.571428571428571,독도체험관,Dokdo Museum Seoul,서울 서대문구 통일로 81
attractions,9736432,3.5,BK성형박물관,BK Plastic Surgery Museum,서울 강남구 도산대로 106
attractions,9997012,4.5,만해 한용운 심우장,Manhae Han Young Un Simujang,서울  29 24
attractions,14956599,5.0,,Jonglo3ga Pojangmacha Geoli,"Seoul 03193,  Jong-ro, Jongno-gu"
attractions,14975458,4.0,,Jongno Tower,"Seoul 03161,  51, Jong-ro, Jongno-gu"
attractions,14975672,3.0,,Dongdaemun Stadium Memorial,"Seoul 04566,  281, Eulji-ro, Jung-gu"
