class,placeId,name_kor,name_eng,latitude,longitude
hotels,3369164,마루 게스트하우스,Guesthouse The Maru,37.54976,126.96921
hotels,3369181,호텔 더 디자이너스 삼성,,37.507282,127.05543
hotels,3370845,크립 49 게스트하우스,Crib 49 Guesthouse,37.55708,126.98565
hotels,3370998,블레싱 인 서울,Blessing In Seoul,37.58672,127.05214
hotels,3389037,아벤트리 호텔 종로,Hotel Aventree Jongno,37.573086,126.98317
hotels,3389245,서울 53 호텔,Seoul 53 Hotel,37.575,126.98944
hotels,3477056,코스테이,,37.531998,126.8606
hotels,3477065,서울앤호텔 동대문,Seoul N Hotel Dongdaemun,37.573444,127.02077
hotels,3477071,엔포시즌,N Fourseason,37.557014,126.97975
hotels,3477077,엔조이 서울,NJoy Seoul,37.556686,126.923
hotels,3477083,호텔 스카이파크 센트럴 명동,Hotel Skypark Central Myeongdong,37.564648,126.98524
hotels,3477158,콘래드 서울,,37.525414,126.92662
hotels,3477194,케이팝 레지던스 명동 2,,37.56289,126.9856
hotels,3479249,이태원 백팩커스,,37.534,126.99994
hotels,3497931,ICOS 게스트하우스,,37.554768,126.9385
hotels,3531770,유기농 게스트하우스,Yooginong Guesthouse,37.553043,126.90741
hotels,3540785,비 마이 게스트하우스,B My Guesthouse,37.5586,126.983894
hotels,3568790,오렌지 게스트하우스,Orange Guesthouse,37.554794,126.91895
hotels,3568908,고운당,Go Woon Dang,37.578903,126.97275
hotels,3571247,라온 게스트하우스,,37.57755,126.981155
hotels,3571251,클릭 호텔,,37.56192,126.9884
hotels,3571309,루이 호텔,,37.556335,126.9382
hotels,3575113,모텔 제로,Motel Zero,37.57456,126.99685
hotels,3575356,센터마크 호텔,,37.572346,126.98434
hotels,3575583,서울 로프트 아파트먼트 ,Seoul Loft Apartments,37.576424,126.99727
hotels,3581563,코지 게스트하우스,Cozzzy Guesthouse,37.558395,126.91867
hotels,3595039,애플 백패커스 게스트하우스,Apple Backpackers Guesthouse,37.57354,126.99102
hotels,3595040,스타즈 호텔 명동 1호점,Staz Hotel Myeongdong 1,37.56695,126.991425
hotels,3595091,북촌 마루 한옥 게스트하우스,,37.58311,126.98742
hotels,3612247,다비드호텔,,37.511047,127.07926
hotels,3616590,모나이 게스트하우스,,37.5365,126.89894
hotels,3618263,휴가 하우스 호스텔,Huga Haus Hostel,37.591137,127.04187
hotels,3618299,야코리아 호스텔 이태원,,37.53437,126.97491
hotels,3618306,호텔 마누,Hotel Manu,37.557076,126.97487
hotels,3618350,E-레지던스,E-Residence,37.513638,127.02103
hotels,3656150,나인트리 호텔 명동,Nine Tree Hotel Myeong-dong,37.561623,126.98592
hotels,3656188,몽 모텔,Mong Motel,37.639526,127.02658
hotels,3661945,에스피@이태원 게스트하우스,SP@Itaewon Guesthouse,37.53545,126.99245
hotels,3682080,아리 하우스 명동,,37.56029,126.98683
hotels,3723601,호텔 아이콘,,37.574944,126.98893
hotels,3723670,펜슬 게스트하우스,,37.560036,126.92548
hotels,3793064,블루 게스트하우스 4,,37.554626,126.91817
hotels,3813528,DW 디자인 레지던스,,37.558285,126.9207
hotels,3813529,청계하우스,,37.56928,126.99869
hotels,3813530,GV레지던스,GV Residence,37.53466,126.99067
hotels,3813590,ZIP 호텔,,37.479477,126.95297
hotels,3813616,메리골드 호텔,,37.55356,126.91949
hotels,3813667,로이하우스,,37.563065,126.92398
hotels,3814456,더스틴 게스트하우스,,37.55553,126.923836
