class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
attractions,3957021,4.666666667,북촌 동양 문화 박물관,Asian Art Museum,서울 종로구 삼청동 35-91,정좌표,,126.983525,37.583788
attractions,4067949,5,아트선재센터,Artsonje Center,서울 종로구 율곡로3길 87,정좌표,,126.981818,37.579412
attractions,4427534,4.25,플라토,Plateao,서울 중구 태평로2가 150,정좌표,,126.974986,37.56162
attractions,4427620,3.666666667,화정박물관,Hwajeong Museum,서울 종로구 평창8길 3,정좌표,,126.965982,37.604602
attractions,4427650,5,울트라건축박물관,Ultra Architecture Museum,서울 양천구 중앙로 262,정좌표,,126.853395,37.519839
attractions,4427657,5,생명과학체험박물관,Seangmyeong Gwahak Cheheom Bakmulgwan,서울 양천구 목동동로 206-1,정좌표,,126.871999,37.523928
attractions,4427661,5,갤러리현대,Gallery Hyundae,서울 강남구 신사동 640-6,정좌표,,127.035808,37.527731
attractions,4427662,5,분재박물관,Bonsai Museum,서울 서초구 신흥안길 40-10,정좌표,,127.075474,37.453432
attractions,4438496,4,서울아트센터 공평갤러리,Seoul Art Center Gongpyeong Gallery,서울 종로구 공평동 5-1,정좌표,,126.983585,37.571885
attractions,4438517,3,웅갤러리,Woong Gallery,서울 강남구 언주로150길 34,정좌표,,127.037144,37.521525
attractions,4438637,5,강북문화예술회관,Ganbuk Munhwa Yesulhoekwan,서울 강북구 수유동 360-10,정좌표,,127.01341,37.640779
attractions,4438686,4.5,강동구립해공도서관,Gandong Gurip Hegong Doseokwan,서울 강동구 천호동 360,정좌표,,127.126407,37.544384
attractions,4438687,3,세곡문화센터,Segok Munhwa Center,서울 강남구 율현동 278-1,정좌표,,127.106924,37.469046
attractions,4438706,4,개포2문화센터,Gepo2 Munhwa Center,서울 강남구 삼성동 8,정좌표,,127.042075,37.516357
attractions,4438716,4.5,덕수궁 중명전,Jungmyeongjeon Hall,서울 중구 정동 1-11,정좌표,,126.972518,37.566627
attractions,4440129,4.5,예술의전당 오페라하우스 자유소극장,Yesuli Jeondang Operahouse Jayu Sokukjang,서울 서초구 서초동 700,정좌표,,127.015231,37.481085
attractions,4798598,5,관훈갤러리,Kwanhoon Gallery,서울 종로구 인사동길 11,정좌표,,126.986767,37.571796
attractions,4798608,4.625,인사아트센터,Insa Art Center,서울 종로구 인사동길 41-1,정좌표,,126.984576,37.573885
attractions,4798677,4,춘원당한방 박물관,Choonwondang Museum of Korean Medicine,서울 종로구 돈화문로9길 27,정좌표,,126.990201,37.571492
attractions,4798710,4.7,송파나루공원,Songpa Naru Park,서울 송파구 잠실로 180,정좌표,,127.103757,37.511786
attractions,7154877,4.4,국립중앙도서관,The National Library of Korea,서울 서초구 반포대로 201,정좌표,,127.0032,37.497284
attractions,7272329,4.666666667,호림 박물관 신사 분관,Horim Museum Sinsa,서울 강남구 도산대로 317,정좌표,,127.036337,37.522698
attractions,7353801,4.5,손기정 기념관,Son Kee Chung Memorial Hall,서울 중구 손기정로 101,정좌표,,126.965373,37.556148
attractions,7717447,4.285714286,환구단,Hwangudan Altar,서울 중구 소공로 112,정좌표,,126.979984,37.564466
attractions,7717516,3.827586207,국립 한글 박물관,National Hangeul Museum,서울 용산구 서빙고로 139,정좌표,,126.980699,37.521087
attractions,7738848,3,디보 빌리지,Dibo Village,서울 중구 청계천로 400,정좌표,,127.021305,37.570961
attractions,7891673,4.2,일민미술관,Ilmin Museum of Art,서울 종로구 청계천로 1 세종로,정좌표,,126.977968,37.569548
attractions,7891676,3.777777778,가든파이브,Garden 5,서울 송파구 충민로 66,정좌표,,127.12498,37.477651
attractions,7891834,4,광진교8번가,Riverview 8th Avenue,서울 강동구 선사로 4,정좌표,,127.121014,37.540109
attractions,7891907,3.571428571,포스코센터,POSCO Art Museum,서울 강남구 테헤란로 440,정좌표,,127.056121,37.505819
attractions,7891908,3.285714286,국립서울과학관,The Seoul National Science Museum,서울 종로구 창경궁로 215,정좌표,,126.996915,37.582388
attractions,7891913,4,난지미술창작스튜디오,Nanji Art Studio,서울 마포구 하늘공원로 108,정좌표,,126.879811,37.569658
attractions,7891916,5,아르코 예술 극장,Arko Arts Theater,서울 종로구 대학로8길 7,정좌표,,127.002988,37.581187
attractions,7891917,4.25,약현성당,Yakhyeon Catholic Church,서울 중구 청파로 447-1,정좌표,,126.967176,37.559137
attractions,7891918,4.333333333,소마미술관,Soma Museum of Art,서울 송파구 올림픽로 424,정좌표,,127.115397,37.520352
attractions,7891933,5,갤러리 학고재,Hakgojae Gallery,서울 종로구 삼청로 50,정좌표,,126.980233,37.580263
attractions,7891934,4.125,성곡미술관,Sungkok Art Museum,서울 종로구 경희궁길 42,정좌표,,126.969733,37.57318
attractions,7891943,4.571428571,몽촌토성,Mongchontoseong Fortress,서울 송파구 올림픽로 424,정좌표,,127.115397,37.520352
attractions,7891945,3.5,하이브랜드 프리미엄 아울렛,Hi Brand Premium Outlet,서울 서초구 매헌로 16,정좌표,,127.03693,37.462468
attractions,7891946,4.777777778,서울성공회성당,Seoul Anglican Cathedral,서울 중구 세종대로21길 15,정좌표,,126.975554,37.567257
attractions,7891951,3.8,엠플라자,M Plaza,서울 중구 명동8길 27,정좌표,,126.985161,37.562537
attractions,7891956,4,가락시장,Garak Market,서울 송파구 양재대로 932,정좌표,,127.111778,37.492609
attractions,7891981,5,김종영미술관,Kim Chong Yung Museum,서울 종로구 평창32길 30,정좌표,,126.977486,37.613064
attractions,7891989,3.333333333,윤봉길 의사 기념관,The Memorial to the Patriot Yun Bonggil,서울 서초구 매헌로 99,정좌표,,127.036748,37.471324
attractions,7892011,4.285714286,길동생태공원,Gildong Ecological Park,서울 강동구 천호대로 1298,정좌표,,127.154608,37.538264
attractions,7892016,4.2,뚝섬 아름다운 나눔장터,Ttukseom Flea Market,서울 광진구 강변북로 139,정좌표,,127.073961,37.529361
attractions,7892033,4,방학동 도깨비시장,Banghak Dokkaebi Market,서울 도봉구 도당로13다길 29,정좌표,,127.033149,37.665225
attractions,7892121,4.666666667,한의약 박물관,Seoul Yangnyeongsi Herb Medicine Museum,서울 동대문구 왕산로 128,정좌표,,127.037665,37.577808
attractions,7892126,4,대각사,Daegaksa Temple,서울 종로구 율곡로10길 87,정좌표,,126.991915,37.573678
attractions,7892447,3,강남관광정보센터,Gangnam Tourist Information Center,서울 강남구 압구정로 161,정좌표,,127.027041,37.526839
attractions,7892528,3,대중음악전시관,K-Pop Music Exhibition Hall,서울 송파구 올림픽로 424 올림픽홀,정좌표,,127.115397,37.520352
attractions,7892561,5,경희대학교 한의학역사박물관,The Museum of Korean Medical History,서울 동대문구 경희대로 23,정좌표,,127.051794,37.59479
attractions,7980918,5,도산 안창호 기념관,Dosan Ahn Chang Ho Memorial Hall,서울 강남구 도산대로45길 20,정좌표,,127.03554,37.523944
attractions,7987267,4.444444444,청운공원,Chungun Park,서울 종로구 청운동 7-4,정좌표,,126.966366,37.590739
attractions,7987806,4,서소문공원,Seosomun Park,서울 중구 의주로2가 16,정좌표,,126.968318,37.560904
attractions,8076992,5,갤러리 현대,Gallery Hyundai,서울 종로구 삼청로 14,정좌표,,126.979889,37.577224
attractions,8077234,4.5,도봉문화정보도서관,Dobong Culture Information Library,서울 도봉구 덕릉로 315,정좌표,,127.043875,37.644598
attractions,8077812,4,강남아트홀,Gangnam Arthall,서울 서초구 서초대로73길 30,정좌표,,127.024865,37.500114
attractions,8121809,5,한국잡지박물관,Korean Magazine Museum,서울 영등포구 여의대방로67길 11,정좌표,,126.930253,37.519758
attractions,8121817,4,경희대학교 자연사박물관,Kyunghee University Natural History Museum,서울 동대문구 경희대로 26,정좌표,,127.052835,37.59569
attractions,8123881,4.666666667,강북 문화정보 도서관,Gangbook Culture Information Library,서울 강북구 오현로 145,정좌표,,127.03606,37.625027
attractions,8317410,3,현대원서공원,Wonseo Park,서울 종로구 창덕궁길 19,정좌표,,126.988662,37.578146
attractions,8404036,4.4,인사동 홍보관 관광안내소,Insadong P.R & Tourist Information Center,서울 종로구 인사동11길 19,정좌표,,126.983571,37.573696
attractions,8591663,5,동양 예술 극장,Dongyang Art Center,서울 종로구 대학로 14길 29,정좌표,,127.002264,37.584578
attractions,8591974,4.333333333,영화사,Yeonghwasa Temple,서울 광진구 영화사로 107,정좌표,,127.098279,37.554337
attractions,8693250,3.375,목동종합운동장,Mokdong Stadium,서울 양천구 안양천로 939,정좌표,,126.881028,37.530646
attractions,9582763,4,그린월,Green Wall,서울 중구 세종대로 110,정좌표,,126.97811,37.566612
attractions,9586394,4,석조전 대한제국역사관,Daehan Empire Historical Museum,서울 중구 세종대로 99,정좌표,,126.974939,37.565882
attractions,9719010,4.571428571,독도체험관,Dokdo Museum Seoul,서울 서대문구 통일로 81,정좌표,,126.968603,37.562367
attractions,9736432,3.5,BK성형박물관,BK Plastic Surgery Museum,서울 강남구 도산대로 106,정좌표,,127.020449,37.516125
